Date,Minimum,First Quartile,Median,Third Quartile,Maximum
"Feb, 1995",97.9,98.7,99.41,99.9,100.99
"Mar, 1995",97.63,99.46,100.0,100.44,101.05
"Apr, 1995",98.35,99.08,99.28,99.65,100.68
"May, 1995",98.08,98.76,99.43,99.68,100.45
"Jun, 1995",98.1,99.21,99.43,99.8,100.6
"Jul, 1995",98.61,99.1,99.25,99.43,100.14
"Aug, 1995",98.77,99.3,99.62,99.78,100.16
"Sep, 1995",98.86,99.48,99.71,100.18,100.68
"Oct, 1995",97.62,98.97,99.22,99.8,100.42
"Nov, 1995",97.74,99.01,99.34,99.77,100.56
"Dec, 1995",97.91,99.22,99.43,100.06,101.0
"Jan, 1996",97.84,98.92,99.55,100.18,101.15
"Feb, 1996",97.55,98.51,99.19,99.69,100.95
"Mar, 1996",97.58,98.92,99.52,100.21,101.95
"Apr, 1996",97.5,98.72,99.3,99.49,100.19
"May, 1996",98.17,99.22,99.68,100.15,100.64
"Jun, 1996",98.59,99.08,99.43,99.72,100.37
"Jul, 1996",98.44,98.95,99.25,99.5,100.49
"Aug, 1996",99.26,99.68,99.88,100.04,100.5
"Sep, 1996",98.24,98.95,99.42,99.66,100.58
"Oct, 1996",97.65,99.1,99.47,100.14,101.39
"Nov, 1996",98.53,99.28,99.91,100.58,102.15
"Dec, 1996",97.93,99.12,99.53,100.15,100.72
"Jan, 1997",96.86,98.4,99.32,100.21,101.43
"Feb, 1997",98.04,99.32,100.1,100.41,101.21
"Mar, 1997",98.05,98.97,99.41,100.24,101.06
"Apr, 1997",98.24,98.69,99.28,99.96,100.6
"May, 1997",97.53,98.65,99.14,99.69,100.76
"Jun, 1997",98.19,99.1,99.47,99.79,100.06
"Jul, 1997",98.01,99.06,99.57,99.93,100.39
"Aug, 1997",98.45,99.26,99.58,99.94,100.15
"Sep, 1997",97.19,99.09,99.58,99.86,100.41
"Oct, 1997",98.12,99.38,99.59,100.12,100.83
"Nov, 1997",97.38,99.0,99.38,99.62,100.7
"Dec, 1997",97.34,98.82,99.24,99.45,100.66
"Jan, 1998",98.24,99.36,99.59,99.96,100.9
"Feb, 1998",98.14,99.03,99.65,99.95,100.94
"Mar, 1998",97.34,98.71,99.25,100.1,101.36
"Apr, 1998",98.37,98.85,99.35,99.82,100.71
"May, 1998",98.04,98.96,99.25,99.5,99.81
"Jun, 1998",97.73,98.7,99.02,99.42,100.03
"Jul, 1998",98.76,99.12,99.4,99.56,100.1
"Aug, 1998",98.39,99.35,99.81,100.13,100.64
"Sep, 1998",98.49,98.96,99.3,99.56,100.07
"Oct, 1998",99.02,99.65,99.94,100.26,100.75
"Nov, 1998",98.53,99.08,99.62,99.97,100.48
"Dec, 1998",98.39,99.36,99.73,100.2,100.93
"Jan, 1999",98.2,99.18,99.66,100.38,101.88
"Feb, 1999",97.4,99.16,99.6,100.2,101.06
"Mar, 1999",97.55,98.84,99.85,100.26,101.69
"Apr, 1999",97.74,99.14,99.44,99.86,100.68
"May, 1999",97.71,99.22,99.67,100.04,100.42
"Jun, 1999",98.31,99.16,99.66,100.08,100.73
"Jul, 1999",98.43,99.0,99.3,99.74,100.26
"Aug, 1999",98.59,99.16,99.4,99.72,100.59
"Sep, 1999",98.62,98.98,99.62,99.85,100.18
"Oct, 1999",97.58,99.4,99.87,100.21,100.92
"Nov, 1999",97.96,99.13,99.71,100.06,101.6
"Dec, 1999",97.99,98.93,99.79,100.16,101.11
"Jan, 2000",97.63,99.14,99.74,100.22,101.67
"Feb, 2000",98.77,99.36,99.93,100.07,101.23
"Mar, 2000",97.24,98.89,99.6,100.23,101.28
"Apr, 2000",97.89,99.01,99.42,99.82,100.97
