Date,Minimum,First Quartile,Median,Third Quartile,Maximum
"Feb, 1995",0.0,0.0,0.15,5.85,27.11
"Mar, 1995",0.0,0.04,0.23,2.17,20.19
"Apr, 1995",0.0,0.08,0.6,2.73,37.56
"May, 1995",0.0,0.01,0.13,2.11,12.04
"Jun, 1995",0.0,0.01,0.19,5.81,28.55
"Jul, 1995",0.0,0.01,0.92,3.23,69.68
"Aug, 1995",0.0,0.06,0.2,2.69,38.61
"Sep, 1995",0.0,0.01,0.1,0.67,14.43
"Oct, 1995",0.0,0.01,0.06,0.46,31.24
"Nov, 1995",0.0,0.03,0.26,1.24,16.19
"Dec, 1995",0.0,0.01,0.09,1.82,26.93
"Jan, 1996",0.0,0.0,0.0,0.03,11.12
"Feb, 1996",0.0,0.0,0.01,0.75,21.94
"Mar, 1996",0.0,0.0,1.37,5.68,18.3
"Apr, 1996",0.0,0.1,0.91,5.71,27.35
"May, 1996",0.0,0.02,0.63,4.51,41.83
"Jun, 1996",0.0,0.01,0.17,3.85,17.37
"Jul, 1996",0.0,0.06,0.22,2.56,49.61
"Aug, 1996",0.0,0.0,0.05,1.38,77.71
"Sep, 1996",0.0,0.01,0.1,3.25,21.46
"Oct, 1996",0.0,0.04,0.3,2.89,39.03
"Nov, 1996",0.0,0.03,0.43,2.57,11.94
"Dec, 1996",0.0,0.0,0.03,0.55,7.63
"Jan, 1997",0.0,0.0,0.01,0.55,43.84
"Feb, 1997",0.0,0.0,0.04,0.89,15.16
"Mar, 1997",0.0,0.0,0.01,1.69,26.6
"Apr, 1997",0.0,0.02,0.17,1.95,33.48
"May, 1997",0.0,0.06,0.72,6.28,14.97
"Jun, 1997",0.02,0.09,0.28,2.67,53.86
"Jul, 1997",0.0,0.1,1.62,5.97,25.48
"Aug, 1997",0.0,0.08,0.54,3.24,11.67
"Sep, 1997",0.0,0.01,0.15,0.7,24.89
"Oct, 1997",0.0,0.01,0.11,3.05,8.98
"Nov, 1997",0.0,0.02,0.12,1.89,39.11
"Dec, 1997",0.0,0.0,0.05,1.81,20.9
"Jan, 1998",0.0,0.0,0.37,2.69,20.13
"Feb, 1998",0.0,0.0,0.06,1.57,10.78
"Mar, 1998",0.0,0.0,0.08,2.31,14.38
"Apr, 1998",0.0,0.0,0.05,1.71,22.3
"May, 1998",0.0,0.04,0.36,2.25,13.67
"Jun, 1998",0.0,0.02,0.19,3.03,72.03
"Jul, 1998",0.0,0.03,0.26,2.37,16.51
"Aug, 1998",0.0,0.03,0.13,2.69,9.65
"Sep, 1998",0.0,0.01,0.03,0.13,2.83
"Oct, 1998",0.0,0.01,0.04,0.19,17.56
"Nov, 1998",0.0,0.01,0.18,0.82,7.34
"Dec, 1998",0.0,0.0,0.05,0.44,22.61
"Jan, 1999",0.0,0.0,0.01,0.24,8.23
"Feb, 1999",0.0,0.01,0.1,1.53,23.37
"Mar, 1999",0.0,0.1,0.45,3.1,38.72
"Apr, 1999",0.0,0.0,0.03,0.78,7.31
"May, 1999",0.0,0.02,0.38,2.47,23.46
"Jun, 1999",0.0,0.0,0.14,2.92,7.95
"Jul, 1999",0.0,0.01,0.17,4.54,41.68
"Aug, 1999",0.0,0.07,0.18,1.44,7.71
"Sep, 1999",0.0,0.06,0.41,2.59,17.89
"Oct, 1999",0.0,0.03,0.14,0.46,6.65
"Nov, 1999",0.0,0.01,0.02,0.18,6.68
"Dec, 1999",0.0,0.01,0.09,0.42,8.7
"Jan, 2000",0.0,0.0,0.01,0.58,11.85
"Feb, 2000",0.0,0.0,0.03,0.5,16.29
"Mar, 2000",0.0,0.0,0.04,0.69,12.19
"Apr, 2000",0.0,0.05,0.62,6.74,23.49
"May, 2000",0.0,0.09,1.14,3.3,69.65
"Jun, 2000",0.0,0.03,0.08,2.41,13.47
"Jul, 2000",0.0,0.02,0.14,2.04,14.57
"Aug, 2000",0.0,0.03,0.05,0.7,20.16
"Sep, 2000",0.0,0.04,0.76,3.42,15.86
"Oct, 2000",0.0,0.0,0.1,0.19,3.13
"Nov, 2000",0.0,0.01,0.25,4.03,18.82
"Dec, 2000",0.0,0.02,0.17,2.18,17.94
"Jan, 2001",0.0,0.0,0.0,0.22,14.71
"Feb, 2001",0.0,0.0,0.07,2.11,19.61
"Mar, 2001",0.0,0.01,0.3,2.34,13.27
"Apr, 2001",0.0,0.0,0.09,0.64,27.04
"May, 2001",0.0,0.08,1.52,5.18,13.32
"Jun, 2001",0.0,0.01,0.76,6.08,29.74
"Jul, 2001",0.0,0.06,0.39,2.06,31.3
"Aug, 2001",0.0,0.04,0.54,2.09,8.37
"Sep, 2001",0.0,0.02,0.17,4.56,10.26
"Oct, 2001",0.0,0.0,0.03,0.32,2.55
"Nov, 2001",0.0,0.0,0.01,0.1,2.49
"Dec, 2001",0.0,0.0,0.02,0.6,42.46
"Jan, 2002",0.0,0.0,0.0,0.05,26.21
"Feb, 2002",0.0,0.0,0.05,0.38,11.06
"Mar, 2002",0.0,0.0,0.04,0.57,14.48
"Apr, 2002",0.0,0.04,0.24,4.07,36.0
"May, 2002",0.0,0.08,1.15,6.31,28.37
"Jun, 2002",0.0,0.1,2.6,8.24,40.23
"Jul, 2002",0.01,0.1,0.61,2.39,14.75
"Aug, 2002",0.0,0.02,0.07,2.38,25.21
"Sep, 2002",0.0,0.0,0.02,0.54,10.46
