Date,Minimum,First Quartile,Median,Third Quartile,Maximum
"Feb, 1995",96.8,98.68,98.96,99.65,100.69
"Mar, 1995",96.49,97.91,98.35,98.72,99.88
"Apr, 1995",97.3,98.11,98.58,98.9,99.74
"May, 1995",97.22,98.46,98.93,99.19,99.67
"Jun, 1995",97.8,98.47,98.82,99.11,99.74
"Jul, 1995",97.69,98.27,98.71,99.11,99.54
"Aug, 1995",98.01,98.45,98.72,98.86,99.55
"Sep, 1995",97.72,98.54,99.04,99.48,100.34
"Oct, 1995",97.65,98.65,99.06,99.73,100.77
"Nov, 1995",97.0,98.17,98.76,99.31,99.89
"Dec, 1995",96.6,97.88,98.2,99.18,100.12
"Jan, 1996",97.59,98.27,98.68,99.19,100.13
"Feb, 1996",96.57,97.72,98.98,99.64,100.15
"Mar, 1996",96.64,97.82,98.24,98.71,99.82
"Apr, 1996",97.05,98.06,98.61,99.01,100.21
"May, 1996",97.7,97.97,98.23,98.53,99.37
"Jun, 1996",97.89,98.5,98.83,99.02,99.69
"Jul, 1996",97.78,98.46,98.59,98.86,99.32
"Aug, 1996",97.9,98.46,98.8,99.07,100.09
"Sep, 1996",98.0,98.56,98.89,99.35,100.11
"Oct, 1996",97.88,98.65,99.22,99.45,99.92
"Nov, 1996",97.01,98.32,98.54,99.38,100.63
"Dec, 1996",95.79,97.89,98.79,99.25,99.8
"Jan, 1997",96.58,97.91,98.52,99.06,100.05
"Feb, 1997",96.95,98.13,98.75,99.21,100.06
"Mar, 1997",97.4,98.31,99.02,99.63,100.27
"Apr, 1997",97.31,98.11,98.61,98.92,100.36
"May, 1997",96.82,97.93,98.24,99.14,100.18
"Jun, 1997",96.77,98.15,98.48,98.7,99.58
"Jul, 1997",97.76,98.52,98.69,98.96,99.72
"Aug, 1997",98.01,98.61,98.85,99.1,99.52
"Sep, 1997",97.43,98.7,99.07,99.29,99.79
"Oct, 1997",97.72,98.42,98.96,99.51,100.7
"Nov, 1997",96.62,97.92,98.47,99.02,99.71
"Dec, 1997",95.91,98.08,98.89,99.51,100.29
"Jan, 1998",96.7,98.06,98.75,99.34,100.62
"Feb, 1998",96.74,97.86,98.69,99.33,100.39
"Mar, 1998",96.76,98.4,99.03,99.58,100.48
"Apr, 1998",97.63,98.21,98.67,99.02,99.76
"May, 1998",97.46,98.18,98.59,98.95,99.81
"Jun, 1998",97.4,98.3,98.57,98.83,99.64
"Jul, 1998",97.41,98.21,98.6,98.85,99.04
"Aug, 1998",98.27,98.63,98.87,99.17,100.01
"Sep, 1998",98.2,98.8,99.19,99.77,100.31
"Oct, 1998",97.56,98.83,99.31,99.48,100.73
"Nov, 1998",96.7,98.23,98.7,99.35,99.78
"Dec, 1998",96.91,98.56,99.17,99.82,100.68
"Jan, 1999",96.81,98.1,98.9,99.48,100.41
"Feb, 1999",97.55,98.36,98.83,99.28,99.96
"Mar, 1999",95.82,97.72,98.5,98.89,99.55
"Apr, 1999",97.5,98.54,98.93,99.13,100.04
"May, 1999",97.48,98.26,98.61,99.09,100.39
"Jun, 1999",97.82,98.4,98.66,98.94,99.35
"Jul, 1999",97.63,98.32,98.63,98.92,99.31
"Aug, 1999",97.74,98.6,98.8,98.98,99.19
"Sep, 1999",97.52,98.54,99.06,99.29,99.76
"Oct, 1999",97.5,98.74,99.2,99.75,100.08
"Nov, 1999",97.79,98.84,99.28,99.75,100.5
"Dec, 1999",95.9,98.03,98.78,99.28,100.1
"Jan, 2000",96.88,98.1,98.56,99.28,99.91
"Feb, 2000",97.73,98.14,98.89,99.3,99.92
"Mar, 2000",97.17,98.48,98.73,99.38,100.43
"Apr, 2000",97.27,98.1,98.5,99.1,100.39
"May, 2000",97.11,98.07,98.3,98.53,99.29
"Jun, 2000",97.68,98.49,98.71,99.15,99.57
"Jul, 2000",97.87,98.38,98.55,98.68,99.15
"Aug, 2000",97.39,97.97,98.27,98.59,99.4
"Sep, 2000",97.1,98.3,98.75,99.16,100.21
"Oct, 2000",97.19,98.79,99.39,99.84,100.33
"Nov, 2000",97.11,98.22,98.73,99.03,100.13
"Dec, 2000",97.51,98.09,98.53,99.17,100.2
"Jan, 2001",96.31,97.82,98.3,98.71,99.69
"Feb, 2001",96.66,97.47,98.07,98.58,99.47
"Mar, 2001",97.43,98.3,98.84,99.34,100.06
"Apr, 2001",98.47,99.03,99.33,99.56,100.23
"May, 2001",97.0,98.27,98.52,98.79,99.27
"Jun, 2001",97.34,98.43,98.72,99.16,99.85
"Jul, 2001",97.53,98.06,98.51,99.06,99.43
"Aug, 2001",97.73,98.52,98.92,99.2,99.54
"Sep, 2001",97.49,98.34,98.85,99.26,99.81
"Oct, 2001",97.15,98.26,98.89,99.04,99.65
"Nov, 2001",97.98,98.66,99.08,99.57,100.23
"Dec, 2001",96.88,97.75,98.54,98.98,99.96
"Jan, 2002",96.71,98.21,98.55,99.08,100.65
"Feb, 2002",96.21,97.95,98.51,98.94,100.03
"Mar, 2002",98.28,99.13,99.45,99.8,100.77
"Apr, 2002",96.91,98.06,98.9,99.24,100.07
"May, 2002",97.65,98.17,98.37,98.86,99.42
"Jun, 2002",97.59,98.19,98.37,98.69,99.12
"Jul, 2002",97.61,97.95,98.22,98.55,99.52
"Aug, 2002",97.98,98.58,98.96,99.19,99.79
"Sep, 2002",98.09,98.6,99.29,99.48,100.33
"Oct, 2002",97.33,98.62,99.03,99.78,100.56
"Nov, 2002",98.26,98.64,99.2,99.57,100.59
"Dec, 2002",96.09,98.0,98.4,99.15,100.92
"Jan, 2003",95.88,97.64,98.27,99.14,99.99
"Feb, 2003",96.78,97.57,97.93,98.17,99.1
"Mar, 2003",96.72,98.2,98.43,98.77,99.75
"Apr, 2003",97.19,98.45,99.12,99.45,100.25
"May, 2003",97.29,98.18,98.58,98.92,99.43
"Jun, 2003",97.88,98.42,98.64,99.02,99.84
"Jul, 2003",97.69,98.0,98.34,98.83,99.42
"Aug, 2003",97.85,98.5,98.77,98.88,99.32
"Sep, 2003",97.68,98.93,99.5,99.62,100.17
"Oct, 2003",97.71,98.53,99.21,99.5,100.32
"Nov, 2003",97.21,98.04,98.9,99.4,100.16
"Dec, 2003",96.27,97.73,98.21,98.6,99.26
"Jan, 2004",97.56,98.15,98.72,99.19,99.85
"Feb, 2004",96.81,97.79,98.3,98.75,100.36
"Mar, 2004",96.77,98.16,98.87,99.41,100.3
"Apr, 2004",97.5,98.46,99.12,99.64,100.63
"May, 2004",97.19,98.09,98.68,99.32,99.82
"Jun, 2004",97.76,98.56,98.77,99.04,99.81
"Jul, 2004",97.84,98.49,98.78,99.04,99.6
"Aug, 2004",97.96,98.42,98.6,98.79,99.45
"Sep, 2004",98.33,98.97,99.44,99.85,100.3
"Oct, 2004",97.96,98.88,99.44,99.86,100.46
"Nov, 2004",96.43,98.45,98.78,99.31,99.83
"Dec, 2004",97.75,98.59,98.95,99.41,100.4
"Jan, 2005",98.88,98.88,98.88,98.88,98.88
