Date,Minimum,First Quartile,Median,Third Quartile,Maximum
"Feb, 1995",0.0,0.0,0.0,0.2,9.6
"Mar, 1995",0.0,0.0,0.0,0.3,23.6
"Apr, 1995",0.0,0.0,0.0,1.9,34.2
"May, 1995",0.0,0.0,0.0,1.5,35.6
"Jun, 1995",0.0,0.0,0.0,0.0,23.8
"Jul, 1995",0.0,0.0,0.0,1.9,18.6
"Aug, 1995",0.0,0.0,0.0,1.4,39.2
"Sep, 1995",0.0,0.0,0.0,0.52,6.6
"Oct, 1995",0.0,0.0,0.0,0.9,64.8
"Nov, 1995",0.0,0.0,0.4,5.35,35.6
"Dec, 1995",0.0,0.0,0.0,0.4,20.4
"Jan, 1996",0.0,0.0,0.0,2.7,19.0
"Feb, 1996",0.0,0.0,0.0,0.85,8.2
"Mar, 1996",0.0,0.0,0.0,1.1,14.2
"Apr, 1996",0.0,0.0,0.5,6.9,18.6
"May, 1996",0.0,0.0,0.0,1.8,32.4
"Jun, 1996",0.0,0.0,1.1,6.55,17.4
"Jul, 1996",0.0,0.0,0.0,0.4,27.8
"Aug, 1996",0.0,0.0,0.0,1.3,9.4
"Sep, 1996",0.0,0.0,0.2,5.4,66.4
"Oct, 1996",0.0,0.0,0.0,3.6,26.8
"Nov, 1996",0.0,0.0,0.0,1.15,17.2
"Dec, 1996",0.0,0.0,0.8,3.6,23.0
"Jan, 1997",0.0,0.2,0.6,2.5,14.8
"Feb, 1997",0.0,0.0,0.0,3.4,21.8
"Mar, 1997",0.0,0.0,0.2,2.2,23.6
"Apr, 1997",0.0,0.0,0.0,0.7,9.6
"May, 1997",0.0,0.0,0.2,1.9,23.0
"Jun, 1997",0.0,0.0,0.0,2.85,10.4
"Jul, 1997",0.0,0.0,0.0,0.1,10.4
"Aug, 1997",0.0,0.0,0.0,0.9,22.0
"Sep, 1997",0.0,0.0,0.0,1.95,16.0
"Oct, 1997",0.0,0.0,0.0,0.2,20.0
"Nov, 1997",0.0,0.0,0.1,1.15,21.4
"Dec, 1997",0.0,0.0,0.0,1.2,7.4
"Jan, 1998",0.0,0.0,0.4,5.0,21.6
"Feb, 1998",0.0,0.0,0.0,0.4,27.2
"Mar, 1998",0.0,0.0,0.4,2.7,20.4
"Apr, 1998",0.0,0.0,0.0,0.95,24.6
"May, 1998",0.0,0.0,0.0,0.3,28.6
"Jun, 1998",0.0,0.0,0.0,2.0,26.0
"Jul, 1998",0.0,0.0,0.0,0.8,15.4
"Aug, 1998",0.0,0.0,0.0,0.1,11.8
"Sep, 1998",0.0,0.0,0.0,0.35,21.2
"Oct, 1998",0.0,0.0,0.0,0.0,16.6
"Nov, 1998",0.0,0.0,0.0,0.4,15.6
"Dec, 1998",0.0,0.0,0.0,0.5,30.2
