Date,Observedtas,Modeltas,Bias
1986-1-1,22.59,25.453150000000054,2.8631500000000543
1986-1-2,22.48,25.25230000000005,2.772300000000051
1986-1-3,22.55,24.82700000000011,2.2770000000001076
1986-1-4,22.98,24.80642000000012,1.8264200000001196
1986-1-5,22.52,24.904929999999986,2.3849299999999864
1986-1-6,20.39,24.32107000000002,3.9310700000000196
1986-1-7,23.07,21.98544000000004,-1.0845599999999607
1986-1-8,22.2,22.286,0.08600000000000207
1986-1-9,22.23,24.59432000000004,2.3643200000000384
1986-1-10,23.54,24.55874,1.018740000000001
1986-1-11,21.43,20.71470000000005,-0.7152999999999494
1986-1-12,21.95,20.447500000000048,-1.5024999999999515
1986-1-13,18.6,23.561239999999998,4.9612399999999965
1986-1-14,16.04,24.56790000000001,8.52790000000001
1986-1-15,17.8,24.68272999999999,6.882729999999988
1986-1-16,21.31,25.037530000000004,3.727530000000005
1986-1-17,22.44,24.99572000000012,2.555720000000118
1986-1-18,23.15,24.456260000000054,1.306260000000055
1986-1-19,22.64,24.884100000000053,2.244100000000053
1986-1-20,19.52,25.027670000000114,5.507670000000115
1986-1-21,18.98,24.881370000000118,5.901370000000117
1986-1-22,21.58,24.971150000000023,3.3911500000000245
1986-1-23,21.88,24.922450000000023,3.0424500000000236
1986-1-24,21.19,24.92574000000002,3.7357400000000176
1986-1-25,22.33,24.90300000000002,2.5730000000000217
1986-1-26,21.0,23.411800000000035,2.411800000000035
1986-1-27,15.49,23.98113000000001,8.49113000000001
1986-1-28,10.08,23.874020000000034,13.794020000000033
1986-1-29,15.93,23.811980000000005,7.881980000000006
1986-1-30,18.58,22.94970000000001,4.369700000000012
1986-1-31,20.37,23.08177999999998,2.7117799999999797
1986-2-1,21.1,23.344449999999995,2.2444499999999934
1986-2-2,21.82,23.331100000000053,1.5111000000000523
1986-2-3,21.85,23.771940000000033,1.9219400000000313
1986-2-4,22.28,24.242100000000054,1.9621000000000528
1986-2-5,23.04,23.989000000000033,0.9490000000000336
1986-2-6,23.3,23.949820000000052,0.6498200000000516
1986-2-7,23.76,22.36718000000002,-1.3928199999999826
1986-2-8,24.01,23.42608000000001,-0.583919999999992
1986-2-9,23.63,23.467950000000034,-0.16204999999996517
1986-2-10,23.94,23.65600000000001,-0.2839999999999918
1986-2-11,24.58,23.73570000000001,-0.8442999999999898
1986-2-12,18.91,23.63986000000011,4.729860000000109
1986-2-13,17.01,24.00475,6.99475
1986-2-14,19.3,23.99000000000001,4.690000000000008
1986-2-15,22.12,23.83172000000002,1.7117200000000174
1986-2-16,21.48,23.711600000000033,2.2316000000000322
1986-2-17,23.2,23.825800000000008,0.6258000000000088
1986-2-18,22.29,23.592030000000022,1.3020300000000233
1986-2-19,23.06,23.26770000000005,0.2077000000000524
1986-2-20,23.23,23.208400000000037,-0.02159999999996387
1986-2-21,22.81,23.601460000000035,0.7914600000000362
1986-2-22,23.65,23.739740000000037,0.08974000000003812
1986-2-23,23.98,23.630330000000008,-0.3496699999999926
1986-2-24,22.66,23.989680000000014,1.329680000000014
1986-2-25,19.08,24.03146000000004,4.95146000000004
1986-2-26,16.68,24.06765000000001,7.387650000000011
1986-2-27,19.77,23.97265000000005,4.202650000000052
1986-2-28,22.16,22.9735,0.8135000000000012
1986-3-1,15.3,23.10500000000001,7.80500000000001
