Date,ObservedsfcWindmax,ModelsfcWindmax
1986-06-26,22,17.2474038
1986-06-27,26,26.96364
1986-06-28,22,26.348685840000005
1986-06-29,26,28.896638400000004
1986-06-30,19,22.9354308
1986-07-01,19,19.65732372
1986-07-02,24,22.9067352
1986-07-03,31,28.18784340000001
1986-07-04,30,26.15341428
1986-07-05,20,23.055231600000003
1986-07-06,28,13.16816388
1986-07-07,22,31.66606439999999
1986-07-08,22,20.9284308
1986-07-09,30,19.49459904
1986-07-10,20,27.03555467999999
1986-07-11,19,28.8685368
1986-07-12,19,28.514945880000006
1986-07-13,37,26.1361296
1986-07-14,31,24.57616680000001
1986-07-15,13,20.5833348
1986-07-16,11,20.78291088
1986-07-17,15,20.196424800000003
1986-07-18,48,20.15230068
1986-07-19,15,20.82622428
1986-07-20,33,18.455064120000007
1986-07-21,20,18.15154452
1986-07-22,15,14.497462800000005
1986-07-23,20,15.8976144
1986-07-24,15,23.41188252
1986-07-25,24,17.9326512
1986-07-26,24,11.82531024
1986-07-27,11,12.3440328
1986-07-28,19,16.853477040000005
1986-07-29,43,21.7456254
1986-07-30,20,30.138127200000003
1986-07-31,17,25.0016328
1986-08-01,17,15.712569359999998
1986-08-02,22,19.59582096
1986-08-03,20,16.3038528
1986-08-04,20,20.523360600000004
1986-08-05,24,34.1720172
1986-08-06,15,34.309458
1986-08-07,9,30.9414528
1986-08-08,20,14.2431552
1986-08-09,26,16.275816
1986-08-10,19,25.13161692000001
1986-08-11,30,21.5239752
1986-08-12,20,16.4979954
1986-08-13,13,23.14451988
1986-08-14,17,25.172244
1986-08-15,28,11.010753720000002
1986-08-16,11,22.262367600000008
1986-08-17,22,23.0795118
1986-08-18,24,26.90337852
1986-08-19,15,16.60917384
1986-08-20,17,19.01082132
1986-08-21,24,12.67723296
1986-08-22,17,12.84039288
1986-08-23,39,14.462752679999996
1986-08-24,37,18.630134640000005
1986-08-25,13,18.0882216
1986-08-26,20,20.64374136
1986-08-27,35,29.4697332
1986-08-28,41,27.567521999999997
1986-08-29,19,22.71686148
1986-08-30,20,39.4183926
1986-08-31,11,34.0542792
1986-09-01,15,14.782464000000004
1986-09-02,15,25.51070520000001
1986-09-03,17,26.0881272
1986-09-04,28,17.851723200000006
1986-09-05,28,22.6065132
1986-09-06,20,23.973836400000003
1986-09-07,24,25.087809600000003
1986-09-08,24,30.5680212
1986-09-09,22,38.47127760000001
1986-09-10,20,28.3226544
1986-09-11,31,25.36811496
1986-09-12,35,19.2658212
1986-09-13,35,14.8575276
1986-09-14,19,23.1052788
1986-09-15,28,32.783878800000004
1986-09-16,26,27.790047360000006
1986-09-17,17,28.52681976
1986-09-18,11,35.923752
1986-09-19,11,37.1251692
1986-09-20,15,40.325511600000006
1986-09-21,9,41.2764156
1986-09-22,15,12.281492520000002
1986-09-23,17,13.6882782
1986-09-24,19,16.84054584
1986-09-25,11,15.899457600000002
1986-09-26,19,17.772461279999995
1986-09-27,26,40.1218596
1986-09-28,7,32.36063760000001
1986-09-29,31,25.47063
1986-09-30,20,16.520282279999996
1986-10-01,13,28.28280816
1986-10-02,11,20.8197468
1986-10-03,20,31.3158636
1986-10-04,28,27.89603640000001
1986-10-05,28,19.930726800000002
1986-10-06,43,27.814634640000005
1986-10-07,24,21.929871600000002
1986-10-08,26,38.919132
1986-10-09,31,32.1417288
1986-10-10,19,28.261288800000003
1986-10-11,19,26.402695200000004
1986-10-12,17,35.3330892
1986-10-13,22,38.35807920000001
1986-10-14,28,28.51628399999999
1986-10-15,22,34.3312488
1986-10-16,13,19.67745096
1986-10-17,19,15.726684959999998
1986-10-18,11,10.59110172
1986-10-19,11,12.46837176
1986-10-20,19,10.1399868
1986-10-21,11,15.228072000000001
1986-10-22,22,15.59248344
1986-10-23,22,24.135838560000003
1986-10-24,15,25.988860799999994
1986-10-25,17,14.80525812
1986-10-26,19,20.107399320000006
1986-10-27,19,17.547593399999997
1986-10-28,20,12.922452
1986-10-29,31,19.0120824
1986-10-30,19,29.181564
1986-10-31,24,37.09139760000001
1986-11-01,22,29.584499400000002
1986-11-02,30,26.561242799999995
1986-11-03,30,22.47956028
1986-11-04,30,24.33840228
1986-11-05,31,23.702185800000002
1986-11-06,17,30.274117200000006
1986-11-07,13,28.5688908
1986-11-08,19,22.619352600000003
1986-11-09,46,27.89446212
1986-11-10,28,24.449112
1986-11-11,22,30.8172636
1986-11-12,33,30.176294399999996
1986-11-13,35,44.2477512
1986-11-14,41,37.1425068
1986-11-15,28,26.9931276
1986-11-16,17,25.97424264
1986-11-17,41,31.2286536
1986-11-18,28,31.802119199999996
1986-11-19,30,35.11755
1986-11-20,30,20.394876959999987
1986-11-21,44,28.4923152
1986-11-22,17,27.01128852
1986-11-23,20,32.2717896
1986-11-24,28,30.399267600000005
1986-11-25,13,34.698880800000005
1986-11-26,26,17.900208000000006
1986-11-27,19,23.9596848
1986-11-28,28,28.01560680000001
1986-11-29,30,30.8451564
1986-11-30,20,24.9721524
1986-12-01,35,16.5078864
1986-12-02,39,12.947058000000002
1986-12-03,44,38.22349680000001
1986-12-04,46,29.760922800000003
1986-12-05,37,32.260708799999996
1986-12-06,28,45.278326799999995
1986-12-07,20,36.7714944
1986-12-08,24,13.791904920000002
1986-12-09,20,14.100388920000002
1986-12-10,52,42.390054
1986-12-11,31,34.3536678
1986-12-12,33,36.2948652
1986-12-13,35,30.1834548
1986-12-14,31,30.3819948
1986-12-15,28,47.5948476
1986-12-16,9,47.3998284
1986-12-17,19,29.2533732
1986-12-18,20,26.05500252
1986-12-19,28,16.763904
1986-12-20,15,16.717626000000006
1986-12-21,19,35.74442159999999
1986-12-22,39,28.09633428
1986-12-23,41,29.4048972
1986-12-24,39,23.88764376
1986-12-25,31,21.82932576
1986-12-26,19,24.78322008
1986-12-27,9,27.54439668
1986-12-28,24,23.98345488
1986-12-29,17,28.3110696
1986-12-30,19,40.485070799999995
1986-12-31,13,34.584951600000004
1987-01-01,17,23.08394052
1987-01-02,24,31.90100760000001
1987-01-03,41,10.7984466
1987-01-04,17,13.387482
1987-01-05,9,37.48819320000001
1987-01-06,13,27.6121944
1987-01-07,35,19.9228788
1987-01-08,26,25.9409556
1987-01-09,26,31.9862628
1987-01-10,30,55.249254
1987-01-11,31,51.5655792
1987-01-12,33,24.6187548
1987-01-13,30,20.0519676
1987-01-14,19,15.925455
1987-01-15,31,27.7296156
1987-01-16,26,24.686080200000006
1987-01-17,28,24.95414988
1987-01-18,20,44.6816376
1987-01-19,30,46.65554640000001
1987-01-20,24,33.720843599999995
1987-01-21,30,28.8594144
1987-01-22,24,32.9783976
