date,max_temperature,min_temperature,max_relative_humidity,min_relative_humidity,max_wind_speed,min_wind_speed,rain,precipitation,snow,snow_on_ground
1990-03-20,4.6,-4.9,89,55,35,9,0.0,0.0,0.0,3.0
1990-03-21,10.4,-2.9,84,36,24,6,0.2,0.2,0.0,0.0
1990-03-22,12.5,2.4,89,45,31,6,2.8,2.8,0.0,0.0
1990-03-23,4.0,-6.5,96,59,46,11,0.2,1.2,1.0,1.0
1990-03-24,-1.1,-7.8,86,43,17,6,0.0,0.0,0.0,0.0
1990-03-25,5.6,-5.0,79,37,33,11,0.0,0.0,0.0,0.0
1990-03-26,0.9,-7.4,86,51,43,9,0.0,0.4,0.4,0.0
1990-03-27,1.4,-7.7,82,53,26,7,0.0,0.0,0.0,0.0
1990-03-28,7.5,-4.1,88,36,22,0,0.0,0.0,0.0,0.0
1990-03-29,3.9,-4.5,73,41,30,7,0.0,0.0,0.0,0.0
1990-03-30,5.0,0.8,98,74,28,0,1.2,1.4,0.0,0.0
1990-03-31,6.6,1.3,99,83,17,0,0.0,0.0,0.0,0.0
1990-04-01,7.0,3.9,96,81,13,0,0.0,0.0,0.0,0.0
1990-04-02,5.5,2.4,99,88,26,7,6.8,6.8,0.0,0.0
1990-04-03,7.5,1.0,95,67,28,0,1.4,1.4,0.0,0.0
1990-04-04,6.0,0.8,96,53,44,22,1.6,1.8,0.2,0.0
1990-04-05,5.7,-1.9,77,55,41,19,0.0,0.0,0.0,0.0
1990-04-06,4.2,-5.1,76,43,28,0,0.0,0.0,0.0,0.0
1990-04-07,3.0,-5.2,85,53,37,7,0.0,0.0,0.0,0.0
1990-04-08,10.0,-3.5,85,38,37,9,0.0,0.0,0.0,0.0
1990-04-09,16.5,3.6,63,26,41,4,0.0,0.0,0.0,0.0
1990-04-10,9.6,0.7,98,62,35,6,19.0,20.8,1.8,0.0
1990-04-11,7.6,-3.7,91,42,41,19,0.0,0.0,0.0,0.0
1990-04-12,1.4,-14.3,91,54,30,11,0.0,0.2,0.6,0.0
1990-04-13,8.6,-2.8,89,53,30,9,0.0,0.0,0.0,0.0
1990-04-14,8.9,1.1,97,73,28,0,6.2,6.2,0.0,0.0
1990-04-15,12.9,0.0,90,62,41,13,0.0,0.0,0.0,0.0
1990-04-16,9.7,-2.3,93,51,24,4,4.8,4.8,0.0,0.0
1990-04-17,7.4,-0.7,89,57,46,22,0.2,0.2,0.0,0.0
1990-04-18,10.5,-1.9,73,38,43,11,0.0,0.0,0.0,0.0
1990-04-19,16.8,1.0,89,25,31,6,0.0,0.0,0.0,0.0
1990-04-20,15.1,9.3,100,51,37,0,10.8,10.8,0.0,0.0
1990-04-21,13.1,4.3,96,69,24,11,0.0,0.0,0.0,0.0
1990-04-22,21.9,4.5,100,38,22,0,0.0,0.0,0.0,0.0
1990-04-23,17.6,6.0,92,48,19,0,0.0,0.0,0.0,0.0
1990-04-24,18.2,3.8,86,49,20,0,0.0,0.0,0.0,0.0
1990-04-25,31.1,11.6,74,46,33,0,0.0,0.0,0.0,0.0
1990-04-26,30.4,17.5,70,37,28,7,0.0,0.0,0.0,0.0
1990-04-27,30.3,16.5,75,34,22,4,0.0,0.0,0.0,0.0
1990-04-28,28.1,12.9,78,35,28,0,0.0,0.0,0.0,0.0
1990-04-29,25.6,11.3,81,40,15,0,0.0,0.0,0.0,0.0
1990-04-30,21.5,12.0,84,53,19,0,0.0,0.0,0.0,0.0
1990-05-01,18.2,2.0,82,31,41,0,0.0,0.0,0.0,0.0
1990-05-02,13.8,-0.1,73,27,28,6,0.0,0.0,0.0,0.0
1990-05-03,13.4,-0.2,85,25,15,0,0.0,0.0,0.0,0.0
1990-05-04,13.2,2.3,94,32,26,0,8.2,8.2,0.0,0.0
1990-05-05,17.5,6.3,96,34,33,0,4.8,4.8,0.0,0.0
1990-05-06,15.1,4.6,83,42,30,0,0.0,0.0,0.0,0.0
1990-05-07,13.6,4.9,90,55,17,0,0.0,0.0,0.0,0.0
1990-05-08,24.6,5.4,96,37,48,7,0.0,0.0,0.0,0.0
1990-05-09,25.2,13.2,71,42,41,7,0.0,0.0,0.0,0.0
1990-05-10,15.3,3.4,93,48,48,9,6.1,6.1,0.0,0.0
1990-05-11,12.2,2.4,82,36,46,7,0.0,0.0,0.0,0.0
1990-05-12,12.5,4.3,93,38,22,0,2.2,2.2,0.0,0.0
1990-05-13,15.1,5.4,96,54,20,0,10.0,10.0,0.0,0.0
1990-05-14,19.4,3.2,95,31,15,0,0.0,0.0,0.0,0.0
1990-05-15,23.7,9.6,82,51,17,0,0.0,0.0,0.0,0.0
1990-05-16,16.1,10.9,100,67,41,4,16.9,16.9,0.0,0.0
1990-05-17,18.1,9.2,100,53,48,0,7.7,7.7,0.0,0.0
1990-05-18,12.8,6.4,82,60,43,15,0.8,0.8,0.0,0.0
1990-05-19,15.3,4.3,96,49,30,0,9.0,9.0,0.0,0.0
1990-05-20,9.2,7.2,97,84,31,11,19.7,19.7,0.0,0.0
1990-05-21,12.9,7.8,93,66,24,0,0.0,0.0,0.0,0.0
1990-05-22,17.6,3.7,96,41,22,0,0.0,0.0,0.0,0.0
1990-05-23,18.9,9.0,84,43,19,0,0.0,0.0,0.0,0.0
1990-05-24,16.2,8.0,92,53,13,0,0.0,0.0,0.0,0.0
1990-05-25,21.0,6.4,89,42,15,0,0.0,0.0,0.0,0.0
1990-05-26,22.2,8.1,87,30,20,0,0.0,0.0,0.0,0.0
1990-05-27,24.0,8.6,81,38,17,0,0.4,0.4,0.0,0.0
1990-05-28,23.9,8.4,81,30,19,0,0.0,0.0,0.0,0.0
1990-05-29,15.5,7.1,86,55,24,4,0.8,0.8,0.0,0.0
1990-05-30,16.7,5.0,69,33,30,6,0.0,0.0,0.0,0.0
1990-05-31,23.3,5.9,71,25,28,0,0.0,0.0,0.0,0.0
1990-06-01,24.8,10.5,68,28,28,6,0.0,0.0,0.0,0.0
1990-06-02,28.4,15.0,81,52,31,4,0.0,0.0,0.0,0.0
1990-06-03,25.1,10.6,95,40,44,0,9.8,9.8,0.0,0.0
1990-06-04,15.1,6.0,93,37,31,9,0.0,0.0,0.0,0.0
1990-06-05,19.9,4.3,82,34,22,0,1.6,1.6,0.0,0.0
1990-06-06,24.5,10.9,84,41,28,7,0.4,0.4,0.0,0.0
1990-06-07,24.8,12.5,80,35,30,4,0.0,0.0,0.0,0.0
1990-06-08,17.1,11.5,99,61,20,0,7.6,7.6,0.0,0.0
1990-06-09,26.6,11.6,100,42,37,0,0.0,0.0,0.0,0.0
1990-06-10,21.2,12.0,86,59,31,13,0.0,0.0,0.0,0.0
1990-06-11,24.5,12.2,86,41,26,7,0.0,0.0,0.0,0.0
1990-06-12,24.5,9.9,89,32,30,0,7.2,7.2,0.0,0.0
1990-06-13,29.6,14.1,93,45,30,9,0.0,0.0,0.0,0.0
1990-06-14,28.2,17.8,94,57,28,0,0.0,0.0,0.0,0.0
1990-06-15,29.6,14.1,94,43,22,0,0.0,0.0,0.0,0.0
1990-06-16,30.2,16.4,87,33,15,0,0.0,0.0,0.0,0.0
1990-06-17,29.4,20.2,79,61,28,0,0.0,0.0,0.0,0.0
1990-06-18,29.0,18.0,89,44,33,13,0.5,0.5,0.0,0.0
1990-06-19,22.7,11.0,81,29,31,7,0.0,0.0,0.0,0.0
1990-06-20,23.6,8.5,73,36,17,0,0.0,0.0,0.0,0.0
1990-06-21,28.4,15.3,95,41,39,0,1.0,1.0,0.0,0.0
1990-06-22,25.1,17.0,98,51,30,0,11.0,11.0,0.0,0.0
1990-06-23,18.7,14.9,97,74,30,11,8.0,8.0,0.0,0.0
1990-06-24,16.8,12.1,91,72,20,9,0.2,0.2,0.0,0.0
1990-06-25,26.2,13.5,89,30,19,0,0.0,0.0,0.0,0.0
1990-06-26,28.4,14.5,80,39,30,4,1.8,1.8,0.0,0.0
1990-06-27,25.5,10.7,96,47,26,6,0.4,0.4,0.0,0.0
1990-06-28,18.4,9.3,90,43,17,4,0.0,0.0,0.0,0.0
1990-06-29,27.9,13.3,94,50,37,0,10.5,10.5,0.0,0.0
1990-06-30,23.0,14.1,93,65,26,0,9.4,9.4,0.0,0.0
1990-07-01,23.1,13.4,100,52,30,4,1.4,1.4,0.0,0.0
1990-07-02,27.8,11.9,78,32,19,0,0.0,0.0,0.0,0.0
1990-07-03,29.7,15.0,76,40,33,4,0.0,0.0,0.0,0.0
1990-07-04,35.4,21.4,69,49,39,4,0.2,0.2,0.0,0.0
1990-07-05,25.1,14.6,88,51,26,6,2.0,2.0,0.0,0.0
1990-07-06,22.0,12.3,72,37,26,13,0.0,0.0,0.0,0.0
1990-07-07,22.4,11.4,77,33,22,0,0.0,0.0,0.0,0.0
1990-07-08,27.4,14.3,92,40,31,0,4.2,4.2,0.0,0.0
1990-07-09,28.0,17.8,95,41,26,7,0.0,0.0,0.0,0.0
1990-07-10,27.9,12.8,80,36,37,9,0.0,0.0,0.0,0.0
1990-07-11,24.0,13.8,79,37,19,6,0.0,0.0,0.0,0.0
1990-07-12,23.3,12.9,68,43,33,4,0.0,0.0,0.0,0.0
1990-07-13,23.2,10.7,78,33,28,7,0.0,0.0,0.0,0.0
1990-07-14,20.2,18.1,90,51,22,0,1.2,1.2,0.0,0.0
1990-07-15,25.9,18.0,100,69,20,0,13.8,13.8,0.0,0.0
1990-07-16,26.6,15.7,89,35,31,4,0.0,0.0,0.0,0.0
1990-07-17,30.4,19.0,84,47,61,0,8.0,8.0,0.0,0.0
1990-07-18,30.1,19.6,80,55,39,4,0.0,0.0,0.0,0.0
1990-07-19,29.9,18.6,91,47,24,0,8.0,8.0,0.0,0.0
1990-07-20,26.1,16.0,94,69,20,4,4.8,4.8,0.0,0.0
1990-07-21,26.7,13.5,90,40,24,0,0.0,0.0,0.0,0.0
1990-07-22,21.0,14.6,95,74,19,0,16.8,16.8,0.0,0.0
1990-07-23,25.5,14.8,97,52,20,9,0.4,0.4,0.0,0.0
1990-07-24,27.0,12.8,93,47,22,0,0.0,0.0,0.0,0.0
1990-07-25,27.0,14.1,88,46,17,0,0.0,0.0,0.0,0.0
1990-07-26,28.3,14.8,86,35,17,0,0.0,0.0,0.0,0.0
1990-07-27,29.6,16.0,87,38,15,0,0.0,0.0,0.0,0.0
1990-07-28,29.5,15.4,90,41,13,0,0.0,0.0,0.0,0.0
1990-07-29,30.6,17.3,90,38,19,0,0.0,0.0,0.0,0.0
1990-07-30,29.3,14.8,93,53,30,0,7.6,7.6,0.0,0.0
1990-07-31,22.0,12.5,88,48,30,11,0.0,0.0,0.0,0.0
1990-08-01,25.7,10.9,84,38,19,7,0.0,0.0,0.0,0.0
1990-08-02,28.8,13.5,81,40,19,0,0.0,0.0,0.0,0.0
1990-08-03,28.8,14.4,91,45,17,0,0.0,0.0,0.0,0.0
1990-08-04,27.9,16.3,88,46,22,0,0.0,0.0,0.0,0.0
1990-08-05,25.0,18.7,98,67,30,0,13.4,13.4,0.0,0.0
1990-08-06,22.0,15.4,89,64,30,15,0.0,0.0,0.0,0.0
1990-08-07,24.0,12.4,90,47,19,0,0.0,0.0,0.0,0.0
1990-08-08,25.9,10.6,93,39,22,0,0.0,0.0,0.0,0.0
1990-08-09,27.4,14.6,88,38,20,0,0.0,0.0,0.0,0.0
1990-08-10,26.7,14.2,98,48,17,0,0.0,0.0,0.0,0.0
1990-08-11,28.0,15.3,99,55,33,0,8.6,8.6,0.0,0.0
1990-08-12,25.4,13.9,99,59,11,0,28.4,28.4,0.0,0.0
1990-08-13,22.3,14.5,98,74,19,0,21.8,21.8,0.0,0.0
1990-08-14,23.4,12.8,96,45,17,0,0.0,0.0,0.0,0.0
1990-08-15,27.9,14.2,95,57,26,4,12.0,12.0,0.0,0.0
1990-08-16,28.0,18.1,99,62,17,0,0.0,0.0,0.0,0.0
1990-08-17,29.4,18.6,95,56,22,0,0.0,0.0,0.0,0.0
1990-08-18,26.2,17.2,92,74,28,0,0.0,0.0,0.0,0.0
1990-08-19,19.0,13.0,89,46,24,13,9.8,9.8,0.0,0.0
1990-08-20,19.4,13.8,83,60,30,13,0.0,0.0,0.0,0.0
1990-08-21,21.6,15.5,87,61,30,4,0.0,0.0,0.0,0.0
1990-08-22,22.0,17.6,96,75,22,11,0.2,0.2,0.0,0.0
1990-08-23,25.0,17.0,92,46,20,7,0.0,0.0,0.0,0.0
1990-08-24,25.3,14.3,96,62,19,0,0.0,0.0,0.0,0.0
1990-08-25,27.5,14.9,97,55,15,0,0.0,0.0,0.0,0.0
1990-08-26,30.4,18.7,93,61,17,0,0.0,0.0,0.0,0.0
1990-08-27,30.4,18.6,96,52,26,4,18.4,18.4,0.0,0.0
1990-08-28,27.8,17.6,94,72,22,0,0.0,0.0,0.0,0.0
1990-08-29,24.5,12.3,91,45,24,9,0.0,0.0,0.0,0.0
1990-08-30,25.2,10.6,93,43,13,0,0.0,0.0,0.0,0.0
1990-08-31,26.1,11.3,93,33,15,0,0.0,0.0,0.0,0.0
1990-09-01,28.0,15.2,89,54,19,0,0.2,0.2,0.0,0.0
1990-09-02,27.5,13.9,88,45,30,0,0.0,0.0,0.0,0.0
1990-09-03,19.4,9.4,84,51,17,0,0.0,0.0,0.0,0.0
1990-09-04,24.0,8.6,95,55,15,0,0.0,0.0,0.0,0.0
1990-09-05,24.2,18.0,96,73,15,0,0.0,0.0,0.0,0.0
1990-09-06,23.5,17.0,100,75,20,0,0.4,0.4,0.0,0.0
1990-09-07,23.1,11.1,97,55,31,4,0.8,0.8,0.0,0.0
1990-09-08,18.4,5.9,84,50,24,4,0.0,0.0,0.0,0.0
1990-09-09,20.0,8.6,97,71,15,0,0.0,0.0,0.0,0.0
1990-09-10,27.4,16.1,95,54,22,0,0.0,0.0,0.0,0.0
1990-09-11,20.5,11.7,93,62,24,0,0.0,0.0,0.0,0.0
1990-09-12,28.5,9.2,96,50,19,4,0.0,0.0,0.0,0.0
1990-09-13,27.5,14.8,98,40,19,0,0.0,0.0,0.0,0.0
1990-09-14,25.2,15.0,100,69,33,6,14.0,14.0,0.0,0.0
1990-09-15,15.4,10.0,93,62,33,6,0.4,0.4,0.0,0.0
1990-09-16,15.4,4.3,92,42,33,0,0.0,0.0,0.0,0.0
1990-09-17,15.2,2.7,93,43,30,9,0.0,0.0,0.0,0.0
1990-09-18,19.2,2.6,93,38,15,0,0.0,0.0,0.0,0.0
1990-09-19,12.9,9.1,96,76,11,0,2.5,2.5,0.0,0.0
1990-09-20,19.5,7.8,94,55,19,6,0.0,0.0,0.0,0.0
1990-09-21,18.3,6.3,95,65,24,0,2.0,2.0,0.0,0.0
1990-09-22,19.5,8.4,96,46,28,6,1.2,1.2,0.0,0.0
1990-09-23,12.1,4.9,93,63,33,7,0.2,0.2,0.0,0.0
1990-09-24,17.1,5.3,92,41,31,11,0.0,0.0,0.0,0.0
1990-09-25,20.7,12.1,81,48,30,6,1.0,1.0,0.0,0.0
1990-09-26,21.7,9.5,96,57,22,0,4.2,4.2,0.0,0.0
1990-09-27,22.7,8.6,100,51,19,0,0.0,0.0,0.0,0.0
1990-09-28,24.1,11.5,97,59,28,0,0.0,0.0,0.0,0.0
1990-09-29,16.4,12.0,95,83,24,6,4.0,4.0,0.0,0.0
1990-09-30,15.5,4.6,100,65,28,13,11.9,11.9,0.0,0.0
1990-10-01,14.4,3.2,94,54,30,0,1.5,1.5,0.0,0.0
1990-10-02,17.2,5.7,83,42,37,4,0.0,0.0,0.0,0.0
1990-10-03,18.4,6.3,91,52,22,0,0.0,0.0,0.0,0.0
1990-10-04,19.9,8.2,92,37,39,7,13.5,13.5,0.0,0.0
1990-10-05,21.5,10.0,79,37,33,7,0.0,0.0,0.0,0.0
1990-10-06,26.0,17.8,73,42,44,9,0.0,0.0,0.0,0.0
1990-10-07,23.6,9.9,94,58,26,0,1.8,1.8,0.0,0.0
1990-10-08,10.3,7.5,97,84,26,11,1.2,1.2,0.0,0.0
1990-10-09,8.6,5.9,98,86,26,13,20.0,20.0,0.0,0.0
1990-10-10,11.4,5.4,100,90,26,0,3.1,3.1,0.0,0.0
1990-10-11,12.6,8.1,100,61,20,0,4.3,4.3,0.0,0.0
1990-10-12,10.4,6.5,99,71,15,0,21.1,21.1,0.0,0.0
1990-10-13,14.5,7.2,99,71,17,0,0.3,0.3,0.0,0.0
1990-10-14,17.6,3.8,99,48,22,0,0.0,0.0,0.0,0.0
1990-10-15,16.3,5.8,87,51,31,4,0.0,0.0,0.0,0.0
1990-10-16,16.1,4.7,93,42,22,7,0.0,0.0,0.0,0.0
1990-10-17,24.1,9.0,99,55,33,9,14.2,14.2,0.0,0.0
1990-10-18,20.4,5.7,93,60,46,17,5.6,5.6,0.0,0.0
1990-10-19,9.1,-0.4,84,48,48,9,0.0,0.0,0.0,0.0
1990-10-20,10.0,-1.7,91,54,22,0,0.0,0.0,0.0,0.0
1990-10-21,18.7,0.7,99,53,26,0,0.0,0.0,0.0,0.0
1990-10-22,13.4,2.8,85,57,20,4,0.0,0.0,0.0,0.0
1990-10-23,12.5,2.4,90,67,22,0,0.0,0.0,0.0,0.0
1990-10-24,13.0,3.2,93,53,19,0,0.0,0.0,0.0,0.0
1990-10-25,9.2,2.5,92,61,31,9,0.0,0.0,0.0,0.0
1990-10-26,6.3,-2.5,81,53,28,7,0.0,0.0,0.0,0.0
1990-10-27,12.4,-3.0,89,47,26,0,1.2,1.2,0.0,0.0
1990-10-28,9.5,-0.1,83,61,37,7,0.0,0.0,0.0,0.0
1990-10-29,7.1,-3.1,87,52,19,6,0.0,0.0,0.0,0.0
1990-10-30,15.6,0.4,93,48,22,0,0.0,0.0,0.0,0.0
1990-10-31,11.1,0.2,98,55,19,0,0.0,0.0,0.0,0.0
1990-11-01,14.4,1.1,97,66,13,0,0.0,0.0,0.0,0.0
1990-11-02,22.0,7.6,94,39,37,6,0.0,0.0,0.0,0.0
1990-11-03,22.1,11.0,84,55,24,0,0.0,0.0,0.0,0.0
1990-11-04,14.1,3.2,94,68,30,7,0.6,0.6,0.0,0.0
1990-11-05,8.0,0.8,98,71,41,4,25.1,25.1,0.0,0.0
1990-11-06,7.4,-0.7,90,60,57,4,0.0,0.0,0.0,0.0
1990-11-07,5.2,0.2,91,70,26,7,0.6,0.6,0.0,0.0
1990-11-08,3.5,-3.8,99,54,30,0,0.0,0.0,0.6,1.0
1990-11-09,6.3,-1.2,92,59,22,7,1.2,1.2,0.0,0.0
1990-11-10,8.0,0.0,95,58,35,0,0.2,0.2,0.0,0.0
1990-11-11,4.5,-2.0,96,53,59,13,0.0,0.8,0.8,0.0
1990-11-12,2.5,-3.4,86,63,41,17,0.0,0.0,0.0,0.0
1990-11-13,2.8,-2.6,80,65,30,15,0.0,0.0,0.0,0.0
1990-11-14,8.6,-2.3,86,53,24,9,0.0,0.0,0.0,0.0
1990-11-15,19.3,5.9,82,48,31,9,0.0,0.0,0.0,0.0
1990-11-16,16.3,3.8,89,59,44,13,0.8,0.8,0.0,0.0
1990-11-17,5.1,-5.0,88,42,39,11,0.0,0.0,0.0,0.0
1990-11-18,3.9,-6.5,91,57,11,0,0.0,0.0,0.0,0.0
1990-11-19,3.6,-4.9,96,63,9,0,0.0,0.0,0.0,0.0
1990-11-20,10.1,-3.8,94,55,15,0,0.0,0.0,0.0,0.0
1990-11-21,6.5,-3.6,96,81,20,0,0.6,0.6,0.0,0.0
1990-11-22,12.6,2.0,97,77,15,0,5.6,5.6,0.0,0.0
1990-11-23,11.0,0.2,91,52,28,0,0.4,0.4,0.0,0.0
1990-11-24,1.6,0.0,90,69,22,0,0.4,0.6,0.2,0.0
1990-11-25,6.7,-1.6,100,57,41,7,0.2,0.2,0.0,0.0
1990-11-26,5.2,-2.9,80,55,22,6,0.0,0.0,0.0,0.0
1990-11-27,19.2,4.6,97,72,33,4,2.7,2.7,0.0,0.0
1990-11-28,18.8,3.2,84,64,44,17,0.2,0.2,0.0,0.0
1990-11-29,3.5,-3.3,89,48,33,11,0.0,0.0,0.0,0.0
1990-11-30,6.9,-3.1,89,45,33,6,0.0,0.0,0.0,0.0
1990-12-01,8.4,1.9,74,48,30,9,0.0,0.0,0.0,0.0
1990-12-02,5.7,-2.3,88,40,26,11,0.0,0.0,0.0,0.0
1990-12-03,4.1,-2.4,100,63,50,0,14.2,30.2,15.6,0.0
1990-12-04,3.8,-6.7,99,66,44,0,0.0,3.4,2.6,4.0
1990-12-05,-0.5,-6.8,81,64,39,11,0.0,0.0,0.0,6.0
1990-12-06,3.3,-0.9,79,60,31,4,0.0,0.0,0.0,5.0
1990-12-07,3.3,-2.1,81,59,20,6,0.0,0.0,0.0,4.0
1990-12-08,5.4,-2.5,88,62,20,7,0.0,0.0,0.0,2.0
1990-12-09,8.0,-3.1,88,54,37,0,0.0,0.0,0.0,2.0
1990-12-10,5.4,-4.6,78,54,37,4,0.0,0.0,0.0,1.0
1990-12-11,-0.2,-5.1,93,57,15,0,0.0,0.4,0.6,1.0
1990-12-12,10.2,-0.5,92,65,26,11,0.0,0.0,0.0,1.0
1990-12-13,10.1,-8.2,90,56,44,15,0.0,0.2,0.2,0.0
1990-12-14,-1.3,-12.3,88,68,13,0,0.0,0.0,0.0,0.0
1990-12-15,2.4,-4.9,98,70,24,0,0.7,0.9,0.2,0.0
