date,avg_hourly_temperature,max_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,min_relative_humidity,max_wind_speed,avg_hourly_wind_speed,min_wind_speed,max_pressure_sea,avg_hourly_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,min_visibility,cooldegdays,precipitation,rain,snow,snow_on_ground
1996-11,0.9423333333333331,4.136666666666666,-2.2833333333333328,,-8.727272727272727,91.33333333333333,77.48333333333333,60.733333333333334,24.8,13.505,4.733333333333333,102.53033333333333,102.17166666666665,101.81566666666666,100.33566666666665,99.99399999999999,99.65166666666666,31443.333333333332,21413.433333333334,11143.333333333334,0.0,0.9933333333333334,0.78,0.22666666666666666,0.4
1996-12,-0.3880645161290322,2.4612903225806453,-3.3322580645161284,,-10.857142857142858,92.93548387096774,82.65483870967739,70.74193548387096,26.677419354838708,14.800967741935485,4.096774193548387,102.14935483870968,101.68129032258065,101.17322580645161,99.94935483870967,99.5048387096774,99.0193548387097,26287.09677419355,15591.193548387097,5122.580645161291,0.0,3.070967741935484,2.135483870967742,0.9096774193548387,0.8387096774193549
1997-01,-6.303548387096776,-1.832258064516129,-10.94838709677419,,-20.071428571428573,88.70967741935483,76.59032258064516,63.903225806451616,33.58064516129032,20.664516129032254,7.903225806451613,102.25354838709679,101.48516129032258,100.62870967741934,99.98870967741934,99.26580645161287,98.45354838709675,27300.0,16209.96129032258,5145.1612903225805,0.0,2.0838709677419356,0.5870967741935483,1.5741935483870966,5.903225806451613
1997-02,-2.8403571428571435,1.3964285714285716,-7.703571428571428,,-14.038461538461538,83.67857142857143,72.71071428571427,61.535714285714285,32.642857142857146,17.369285714285713,4.107142857142857,102.71642857142857,102.07071428571429,101.46964285714284,100.47000000000001,99.86571428571429,99.2942857142857,30550.0,18519.435714285715,7864.285714285715,0.0,2.8071428571428574,2.2142857142857144,0.5857142857142857,4.285714285714286
1997-03,-1.0270967741935484,2.7161290322580642,-5.406451612903225,,-11.923076923076923,84.09677419354838,70.33225806451614,56.354838709677416,30.741935483870968,16.876774193548385,4.0,102.34903225806453,101.72064516129034,101.07483870967742,100.13645161290322,99.53935483870966,98.91354838709677,31345.16129032258,21321.27741935484,10074.193548387097,0.0,2.2516129032258068,0.9612903225806453,1.3419354838709678,3.3548387096774195
1997-04,5.909000000000001,11.170000000000005,0.35000000000000026,,-7.333333333333333,79.2,59.29666666666667,40.766666666666666,27.866666666666667,15.097666666666665,4.433333333333334,101.82899999999998,101.46499999999999,101.07966666666663,99.684,99.34233333333334,98.96533333333333,36033.333333333336,25864.91,15863.333333333334,0.0,0.9733333333333333,0.84,0.08666666666666668,0.03333333333333333
1997-05,9.776451612903225,14.9,4.225806451612903,,,86.48387096774194,65.0258064516129,44.25806451612903,30.580645161290324,16.715161290322584,4.225806451612903,101.66870967741934,101.27709677419352,100.88612903225807,99.55225806451611,99.18709677419355,98.8048387096774,36448.3870967742,26127.954838709684,14280.645161290322,0.0,2.1096774193548384,2.1096774193548384,0.0,0.0
1997-06,20.185999999999996,25.496666666666663,13.953333333333335,30.5,,85.66666666666667,64.27333333333334,45.36666666666667,23.433333333333334,10.700666666666667,0.4666666666666667,101.6646666666667,101.40599999999999,101.15066666666665,99.62233333333334,99.38600000000001,99.14666666666668,35040.0,23648.333333333332,13570.0,2.4266666666666667,1.6933333333333331,1.6933333333333331,0.0,0.0
1997-07,21.130322580645164,26.76129032258065,15.035483870967742,32.04347826086956,,86.48387096774194,64.4032258064516,43.87096774193548,22.774193548387096,12.443548387096772,2.6774193548387095,101.75064516129036,101.49903225806449,101.24451612903228,99.71225806451612,99.48354838709677,99.2406451612903,34993.54838709677,26926.345161290323,15341.935483870968,3.3096774193548377,0.967741935483871,0.967741935483871,0.0,0.0
1997-08,18.984516129032258,24.419354838709673,13.44838709677419,29.272727272727273,,89.0,71.45806451612903,51.41935483870968,21.870967741935484,11.958709677419353,2.6774193548387095,101.80645161290323,101.54387096774191,101.29354838709679,99.75419354838706,99.51258064516131,99.27677419354842,33758.06451612903,24875.835483870967,14190.322580645161,1.5032258064516129,2.3161290322580643,2.3161290322580643,0.0,0.0
1997-09,15.71066666666667,20.946666666666665,9.973333333333333,27.642857142857142,,93.36666666666666,75.63000000000001,55.6,24.0,13.395666666666665,3.433333333333333,101.82466666666669,101.44966666666667,101.084,99.74466666666667,99.39733333333335,99.05000000000001,33623.333333333336,24118.939999999995,14000.0,0.3766666666666667,1.6,1.6,0.0,0.0
1997-10,9.500967741935483,14.725806451612904,4.183870967741935,26.5,-3.8333333333333335,90.35483870967742,71.6516129032258,50.29032258064516,22.0,11.741935483870966,2.3870967741935485,102.13806451612902,101.82258064516128,101.42096774193547,100.01129032258065,99.71903225806453,99.33483870967743,33751.6129032258,23724.406451612907,12790.322580645161,0.09032258064516129,1.1354838709677417,1.0387096774193547,0.09032258064516129,0.0
