Date,Observedtasmax,Modeltasmax,Bias
1986-01-01,-3.0,0.9408999999999992,3.940899999999999
1986-01-02,0.8,-3.850199999999973,-4.650199999999973
1986-01-03,-0.5,-5.454869999999971,-4.954869999999971
1986-01-04,-3.2,-6.674539999999977,-3.474539999999977
1986-01-05,-3.8,-6.477759999999987,-2.677759999999987
1986-01-06,-6.4,-8.40459999999996,-2.004599999999959
1986-01-07,-11.2,-6.853199999999957,4.346800000000043
1986-01-08,-6.1,-5.169799999999952,0.9302000000000472
1986-01-09,0.9,-5.77546000000001,-6.67546000000001
1986-01-10,1.5,-7.295869999999978,-8.795869999999978
1986-01-11,3.0,-6.451759999999979,-9.451759999999979
1986-01-12,4.0,-6.913920000000019,-10.913920000000019
1986-01-13,-2.7,-10.957739999999943,-8.257739999999941
1986-01-14,-13.1,-6.011699999999963,7.088300000000037
1986-01-15,-6.4,-7.888699999999972,-1.4886999999999713
1986-01-16,-0.2,-8.793769999999995,-8.593769999999996
1986-01-17,6.2,-11.244499999999961,-17.444499999999962
1986-01-18,6.7,-10.656039999999964,-17.356039999999965
1986-01-19,5.2,-2.2953999999999724,-7.4953999999999725
1986-01-20,2.8,0.6490000000000578,-2.150999999999942
1986-01-21,3.9,1.656370000000038,-2.243629999999962
1986-01-22,4.5,-7.822099999999978,-12.322099999999978
1986-01-23,-5.3,-6.712400000000002,-1.4124000000000025
1986-01-24,-2.2,-9.828159999999967,-7.6281599999999665
1986-01-25,2.2,-10.001559999999985,-12.201559999999986
1986-01-26,1.3,-14.636239999999988,-15.936239999999989
1986-01-27,-4.2,-11.029429999999934,-6.829429999999934
1986-01-28,-10.2,-10.988929999999984,-0.7889299999999846
1986-01-29,-6.5,-10.222749999999962,-3.7227499999999623
1986-01-30,-4.8,-5.360419999999976,-0.5604199999999766
1986-01-31,-3.1,-3.611429999999984,-0.5114299999999838
1986-02-01,-0.5,2.3231400000000235,2.8231400000000235
1986-02-02,-1.4,1.7160000000000082,3.116000000000008
1986-02-03,0.2,3.0399400000000014,2.8399400000000012
1986-02-04,0.3,6.541280000000029,6.241280000000029
1986-02-05,0.7,5.7145000000000445,5.014500000000044
1986-02-06,-0.6,1.0229700000000437,1.6229700000000435
1986-02-07,-5.0,0.505800000000022,5.505800000000022
1986-02-08,-5.5,-7.304199999999981,-1.8041999999999812
1986-02-09,-1.3,5.400660000000017,6.700660000000017
1986-02-10,-5.5,6.150100000000008,11.650100000000009
1986-02-11,-7.5,3.340570000000014,10.840570000000014
1986-02-12,-5.9,6.455100000000018,12.355100000000018
1986-02-13,-7.0,8.63213999999999,15.63213999999999
1986-02-14,-4.3,6.147199999999998,10.447199999999999
1986-02-15,-5.2,3.2012000000000285,8.401200000000028
1986-02-16,-3.2,12.249439999999993,15.449439999999992
1986-02-17,-0.7,6.251430000000028,6.951430000000028
1986-02-18,1.5,3.2948000000000093,1.7948000000000093
1986-02-19,2.5,3.0911200000000463,0.5911200000000463
1986-02-20,1.9,3.2035200000000263,1.3035200000000264
1986-02-21,0.5,10.15258,9.65258
1986-02-22,-2.7,4.860560000000022,7.560560000000022
1986-02-23,-1.4,2.0047000000000144,3.4047000000000143
1986-02-24,-1.3,4.9257800000000325,6.225780000000032
1986-02-25,-7.6,9.969539999999997,17.569539999999996
1986-02-26,-7.7,5.090100000000007,12.790100000000006
1986-02-27,-7.5,9.050839999999994,16.550839999999994
1986-02-28,-4.2,11.66998000000001,15.869980000000009
1986-03-01,-1.5,12.068570000000026,13.568570000000026
1986-03-02,1.2,2.1933799999999906,0.9933799999999906
1986-03-03,5.1,1.2795300000000225,-3.820469999999977
1986-03-04,2.9,15.460080000000005,12.560080000000005
1986-03-05,2.1,9.577720000000113,7.477720000000113
1986-03-06,-3.1,5.7146000000000186,8.814600000000018
1986-03-07,-8.9,12.216850000000026,21.116850000000028
1986-03-08,-6.8,12.423760000000017,19.223760000000016
1986-03-09,-0.1,2.070730000000026,2.170730000000026
1986-03-10,9.2,3.4166000000000167,-5.7833999999999826
1986-03-11,7.3,7.932860000000005,0.6328600000000053
1986-03-12,1.4,7.876760000000048,6.4767600000000485
1986-03-13,2.1,8.71410000000003,6.614100000000031
1986-03-14,3.3,10.747830000000024,7.447830000000024
1986-03-15,4.1,6.1043300000000045,2.004330000000005
1986-03-16,2.9,17.443000000000037,14.543000000000037
1986-03-17,5.8,16.62356000000011,10.82356000000011
1986-03-18,4.9,15.27188000000001,10.37188000000001
1986-03-19,14.2,4.449700000000006,-9.750299999999992
1986-03-20,-9.2,7.454770000000052,16.654770000000052
1986-03-21,-2.2,10.61318,12.81318
1986-03-22,6.1,13.106320000000036,7.006320000000036
1986-03-23,11.2,6.941220000000044,-4.258779999999955
1986-03-24,4.3,7.512699999999995,3.2126999999999954
1986-03-25,19.6,2.6148000000000025,-16.9852
1986-03-26,19.5,2.3029000000000224,-17.197099999999978
1986-03-27,5.9,2.6412000000000257,-3.2587999999999746
1986-03-28,12.8,11.800999999999988,-0.999000000000013
1986-03-29,21.2,13.36360000000002,-7.83639999999998
1986-03-30,24.5,6.855830000000026,-17.644169999999974
1986-03-31,12.0,8.316300000000012,-3.6836999999999875
1986-04-01,25.8,10.313600000000008,-15.486399999999993
1986-04-02,12.4,11.970570000000125,-0.42942999999987563
1986-04-03,11.4,14.246400000000053,2.8464000000000524
1986-04-04,10.2,6.557240000000036,-3.6427599999999636
1986-04-05,5.8,2.9329799999999864,-2.8670200000000134
1986-04-06,17.6,9.046260000000018,-8.553739999999983
1986-04-07,16.1,8.876760000000047,-7.223239999999954
