Date,Observedtas,Modeltas,Bias
1986-01-01,-5.31,-2.339269999999999,2.9707300000000005
1986-01-02,-3.04,-6.013679999999965,-2.9736799999999652
1986-01-03,-4.86,-7.4040299999999775,-2.544029999999977
1986-01-04,-7.09,-9.311129999999936,-2.2211299999999365
1986-01-05,-6.65,-9.602099999999947,-2.9520999999999464
1986-01-06,-9.53,-11.601969999999996,-2.0719699999999968
1986-01-07,-15.46,-13.746219999999996,1.7137800000000052
1986-01-08,-13.6,-7.732899999999972,5.867100000000027
1986-01-09,-3.17,-8.478029999999933,-5.308029999999933
1986-01-10,-1.88,-12.597749999999962,-10.717749999999963
1986-01-11,-0.76,-10.31635,-9.55635
1986-01-12,1.91,-11.0197,-12.9297
1986-01-13,-11.37,-15.862249999999962,-4.492249999999963
1986-01-14,-16.08,-9.59753999999998,6.482460000000017
1986-01-15,-13.29,-12.06486000000001,1.225139999999989
1986-01-16,-2.96,-12.492649999999974,-9.532649999999975
1986-01-17,3.32,-17.390109999999993,-20.710109999999993
1986-01-18,4.3,-15.50200000000001,-19.80200000000001
1986-01-19,3.59,-7.923499999999992,-11.513499999999992
1986-01-20,-0.23,-8.009070000000008,-7.779070000000008
1986-01-21,-0.66,-0.163599999999974,0.49640000000002604
1986-01-22,0.22,-12.743839999999974,-12.963839999999974
1986-01-23,-7.8,-10.478429999999943,-2.678429999999943
1986-01-24,-5.67,-14.793399999999965,-9.123399999999965
1986-01-25,0.22,-12.482370000000005,-12.702370000000005
1986-01-26,-2.32,-18.645939999999968,-16.325939999999967
1986-01-27,-13.21,-16.0659,-2.8558999999999983
1986-01-28,-14.03,-13.39206999999999,0.6379300000000097
1986-01-29,-9.5,-14.233949999999993,-4.733949999999993
1986-01-30,-6.86,-11.981359999999995,-5.121359999999995
1986-01-31,-5.95,-8.030399999999988,-2.0803999999999876
1986-02-01,-5.21,-3.0442299999999705,2.1657700000000295
1986-02-02,-3.44,-2.493379999999945,0.9466200000000549
1986-02-03,-1.63,-2.200199999999996,-0.5701999999999963
1986-02-04,-1.66,4.183470000000057,5.843470000000057
1986-02-05,-0.29,0.4095700000000306,0.6995700000000306
1986-02-06,-9.02,-3.638499999999965,5.381500000000035
1986-02-07,-7.67,-1.6881199999999694,5.9818800000000305
1986-02-08,-6.97,-12.052129999999973,-5.082129999999974
1986-02-09,-4.1,-3.2292999999999665,0.8707000000000331
1986-02-10,-9.77,3.103360000000009,12.873360000000009
1986-02-11,-11.95,2.1954000000000065,14.145400000000006
1986-02-12,-11.01,1.313379999999995,12.323379999999995
1986-02-13,-10.32,7.248350000000016,17.568350000000017
1986-02-14,-7.5,1.6564000000000192,9.15640000000002
1986-02-15,-8.96,0.16964000000001533,9.129640000000016
1986-02-16,-5.9,7.350000000000023,13.250000000000023
1986-02-17,-2.29,3.136380000000031,5.426380000000031
1986-02-18,-0.48,0.6945000000000051,1.174500000000005
1986-02-19,1.2,0.03863000000001193,-1.161369999999988
1986-02-20,0.98,0.7827399999999898,-0.1972600000000102
1986-02-21,-6.08,3.2608299999999986,9.340829999999999
1986-02-22,-8.8,0.4939800000000218,9.293980000000023
1986-02-23,-3.6,-1.083039999999983,2.516960000000017
1986-02-24,-5.23,1.1502600000000598,6.38026000000006
1986-02-25,-10.55,2.980130000000031,13.530130000000032
1986-02-26,-10.95,2.1944500000000176,13.144450000000017
1986-02-27,-11.4,4.745300000000043,16.14530000000004
1986-02-28,-7.91,8.789500000000032,16.699500000000032
1986-03-01,-6.93,9.386300000000006,16.316300000000005
1986-03-02,-2.69,-1.518839999999955,1.171160000000045
1986-03-03,-1.67,-1.4019799999999805,0.26802000000001946
1986-03-04,0.2,10.733150000000023,10.533150000000024
1986-03-05,-1.48,4.863,6.343
1986-03-06,-5.23,2.4656600000000144,7.695660000000014
1986-03-07,-13.81,4.171660000000031,17.981660000000034
1986-03-08,-12.51,6.052600000000041,18.56260000000004
1986-03-09,-2.93,-0.2990199999999845,2.6309800000000156
1986-03-10,2.53,0.4492700000000696,-2.0807299999999302
1986-03-11,0.28,3.664800000000014,3.3848000000000136
1986-03-12,-1.43,2.422880000000021,3.852880000000021
1986-03-13,1.05,4.87814000000003,3.8281400000000305
1986-03-14,2.0,6.406670000000019,4.406670000000019
1986-03-15,2.35,1.494320000000016,-0.855679999999984
1986-03-16,0.98,12.37115,11.39115
1986-03-17,0.86,14.008840000000019,13.14884000000002
1986-03-18,1.68,12.047500000000017,10.367500000000017
1986-03-19,4.11,1.1536200000000465,-2.956379999999954
1986-03-20,-12.43,1.3563200000000393,13.786320000000039
1986-03-21,-7.41,4.5167000000000135,11.926700000000015
1986-03-22,0.48,7.994100000000002,7.514100000000003
1986-03-23,4.44,5.153500000000008,0.7135000000000078
1986-03-24,-0.99,4.5915500000000415,5.581550000000042
1986-03-25,9.6,0.7638500000000477,-8.836149999999952
1986-03-26,12.2,-0.3050999999999817,-12.505099999999981
1986-03-27,3.62,-0.13630000000000564,-3.7563000000000057
1986-03-28,7.11,2.3534799999999905,-4.75652000000001
1986-03-29,15.23,10.450400000000002,-4.7795999999999985
1986-03-30,15.34,2.7807600000000434,-12.559239999999956
1986-03-31,5.56,2.032129999999995,-3.5278700000000045
1986-04-01,10.1,6.310820000000034,-3.7891799999999654
1986-04-02,5.93,6.358029999999987,0.42802999999998725
1986-04-03,6.76,10.747670000000026,3.9876700000000262
1986-04-04,6.66,4.081630000000018,-2.578369999999982
1986-04-05,4.38,0.12835000000001173,-4.251649999999988
1986-04-06,9.18,2.14930000000004,-7.0306999999999595
